umls_id,mondo_id
C0012634,1
C0405580,4
C0005818,9
C1285186,15
CN228161,23
CN228622,49
C0013338,50
CN357508,65
C0687154,78
C0877015,82
C0266464,87
C0034013,88
C2673913,104
C1865295,107
C3280646,108
C0221363,110
C5200933,128
C0268594,129
C0398788,133
C4551972,141
C0334108,147
CN262497,148
C4551649,158
C2931245,159
C1621895,161
CN236791,166
C2931500,170
C0265221,171
CN228400,172
CN262500,173
C0265218,179
CN228621,182
C1847501,188
C0042510,190
CN228160,192
C1291245,193
C0796013,200
C4014997,208
C5567518,209
C1836694,211
CN203398,212
C4329374,212
CN238808,213
CN282827,218
C0153194,222
C1320317,227
C3532354,231
C4505102,232
C2108396,233
C0275757,238
C0259737,239
C0238013,240
C0268095,241
C2349994,242
C0040255,245
C0376300,248
C0267557,249
C0267556,250
C0031898,253
C0553576,256
C0740441,257
C0001427,261
C0029895,262
C0023076,263
C0032290,265
C2350529,266
C1290325,270
C0275933,271
C0032858,276
C0242993,284
C0554114,286
C0338428,291
C0009225,293
C0277108,294
C0277331,295
C0277150,297
C0162626,297
C0012482,298
C0344058,299
C0027034,301
C0343965,302
C0276712,303
C1274008,304
C0343939,306
C0085682,313
C0275974,320
C0473876,321
C0085568,327
C0085681,328
C0041472,330
C0520779,332
C0275859,333
C0342208,334
C0015231,337
C1812609,338
C0276286,342
C0035865,344
C0276386,345
C4048705,351
C4551860,355
C3266076,358
C0265343,359
C1533041,365
C0039254,367
C0679362,368
C0740652,369
C0347073,371
C0347098,372
C2939445,375
C3164456,376
C0334410,377
C0334406,378
C1335337,380
C0854995,380
C0497556,382
C1332536,383
C0154017,384
C0497538,385
C2987127,386
C0271901,387
C5574658,389
C0339510,390
C3661483,393
C3146244,395
C0338596,396
C0394005,397
C0751024,400
C0334239,402
C0153445,405
CN200663,408
C2985290,408
CN036067,408
C1275592,410
C2828000,425
C1138434,425
C0265385,426
C1563751,428
C0265384,429
C0334633,432
C0007758,437
C0158683,447
C0030421,448
C0751965,450
C0751964,451
C0393666,452
C2348199,453
C0730290,455
CN227588,456
C3827253,457
C3828464,458
C3829122,459
C3828832,460
C1290855,462
C0004245,465
C0085614,466
C0264906,467
C0151517,468
C0854140,470
C0264882,471
C0264776,471
C0852949,473
C0265122,474
C0743332,477
C1997740,479
C0267601,480
C0154676,482
C1963946,485
C4023011,486
C1960561,487
CN068444,488
C0178664,490
C2945695,491
C1306557,492
C0151650,494
C0085692,496
C0034215,497
C2242711,498
C1852242,499
C0349566,500
C1839564,501
C0206674,502
C4521520,503
C1833662,507
CN225415,508
C5191670,510
C3164279,518
C4330935,520
C0948750,521
C1332869,525
C4551463,527
C1302652,530
C3873401,534
C1319317,536
C0349536,540
C4072935,541
C3898222,544
C1518230,548
C1257877,550
C0206692,552
C1263762,554
C0342552,569
C0158995,577
C3502055,583
C0268113,608
C4733095,618
C0744514,624
C0947786,625
C0347524,627
C0153999,632
C0346440,634
CN201960,640
C0154003,643
C0153997,644
C0346190,645
C0154002,647
C0497550,648
C0496874,650
C3661979,651
C0039978,651
C0272253,659
C0234497,662
C0392704,670
C0162529,701
C0400821,702
C0238067,703
C0400822,704
C0267532,707
C0020877,709
C0454651,724
C0595995,726
C2931268,727
